el-securitypolicyviolation.smooth,el-message,events-fired,events-fired-all,performanceAPI.smooth,0
uncalled,uncalled,uncalled,nan,"{'size': {'transferSize': 0, 'decodedBodySize': 0, 'encodedBodySize': 0}, 'timing': {'duration': >0, 'fetchStart': >0, 'redirectEnd': 0, 'redirectStart': 0, 'secureConnectionStart': 0}, 'initiatorType': 'embed', 'nextHopProtocol': 'http/1.1'}",198624
"URL: , Effective Directive: frame-ancestors, Status-Code: 0",uncalled,uncalled,nan,"{'size': {'transferSize': 0, 'decodedBodySize': 0, 'encodedBodySize': 0}, 'timing': {'duration': >0, 'fetchStart': >0, 'redirectEnd': 0, 'redirectStart': 0, 'secureConnectionStart': 0}, 'initiatorType': 'embed', 'nextHopProtocol': 'http/1.1'}",101891
uncalled,uncalled,uncalled,nan,"{'size': {'transferSize': 0, 'decodedBodySize': 0, 'encodedBodySize': 0}, 'timing': {'duration': >0, 'fetchStart': >0, 'redirectEnd': 0, 'redirectStart': 0, 'secureConnectionStart': 0}, 'initiatorType': 'embed', 'nextHopProtocol': ''}",29877
uncalled,uncalled,load,load,"{'size': {'transferSize': 0, 'decodedBodySize': 0, 'encodedBodySize': 0}, 'timing': {'duration': >0, 'fetchStart': >0, 'redirectEnd': 0, 'redirectStart': 0, 'secureConnectionStart': 0}, 'initiatorType': 'embed', 'nextHopProtocol': 'http/1.1'}",23142
uncalled,uncalled,error,"['error', 'loadend']","{'size': {'transferSize': 0, 'decodedBodySize': 0, 'encodedBodySize': 0}, 'timing': {'duration': >0, 'fetchStart': >0, 'redirectEnd': 0, 'redirectStart': 0, 'secureConnectionStart': 0}, 'initiatorType': 'embed', 'nextHopProtocol': 'http/1.1'}",1579
uncalled,uncalled,load,"['load', 'loadend']","{'size': {'transferSize': 0, 'decodedBodySize': 0, 'encodedBodySize': 0}, 'timing': {'duration': >0, 'fetchStart': >0, 'redirectEnd': 0, 'redirectStart': 0, 'secureConnectionStart': 0}, 'initiatorType': 'embed', 'nextHopProtocol': 'http/1.1'}",191
uncalled,uncalled,"['load', 'load']","['load', 'load']","{'size': {'transferSize': 0, 'decodedBodySize': 0, 'encodedBodySize': 0}, 'timing': {'duration': >0, 'fetchStart': >0, 'redirectEnd': 0, 'redirectStart': 0, 'secureConnectionStart': 0}, 'initiatorType': 'embed', 'nextHopProtocol': 'http/1.1'}",94
uncalled,"Origin: https://127.0.0.1:44300, Message: mes1",load,load,"{'size': {'transferSize': 0, 'decodedBodySize': 0, 'encodedBodySize': 0}, 'timing': {'duration': >0, 'fetchStart': >0, 'redirectEnd': 0, 'redirectStart': 0, 'secureConnectionStart': 0}, 'initiatorType': 'embed', 'nextHopProtocol': 'http/1.1'}",48
uncalled,uncalled,uncalled,nan,uncalled,4
"URL: , Effective Directive: frame-ancestors, Status-Code: 0",uncalled,uncalled,nan,uncalled,2
